timestamp,id,week
2023-09-03T20:36:16Z,16,36
2023-09-05T08:51:52Z,13,36
2023-09-05T22:18:15Z,7,36
2023-09-06T13:53:04Z,1,36
2023-09-06T14:19:10Z,12,36
2023-09-06T15:50:04Z,8,36
2023-09-06T16:41:58Z,5,36
2023-09-06T17:06:35Z,3,36
2023-09-06T17:35:39Z,11,36
2023-09-06T17:52:42Z,18,36
2023-09-06T18:50:36Z,17,36
2023-09-06T22:17:42Z,15,36
2023-09-11T17:48:01Z,13,37
2023-09-11T23:20:08Z,2,37
2023-09-12T13:09:41Z,18,37
2023-09-12T13:14:14Z,6,37
2023-09-12T13:50:15Z,16,37
2023-09-12T14:53:37Z,5,37
2023-09-12T20:15:05Z,9,37
2023-09-12T20:51:06Z,11,37
2023-09-12T21:55:14Z,4,37
2023-09-13T18:14:48Z,17,37
2023-09-17T13:40:00Z,17,38
2023-09-17T19:43:09Z,11,38
2023-09-18T21:19:00Z,1,38
2023-09-18T22:21:55Z,14,38
2023-09-19T13:03:25Z,10,38
2023-09-19T18:25:33Z,15,38
2023-09-19T19:58:28Z,2,38
2023-09-19T20:13:48Z,13,38
2023-09-19T20:29:54Z,3,38
2023-09-19T21:13:59Z,18,38
2023-09-19T23:12:58Z,5,38
2023-09-20T16:32:29Z,9,38
2023-09-25T19:32:22Z,17,39
2023-09-26T19:16:43Z,3,39
2023-09-26T23:23:55Z,5,39
2023-09-27T15:37:45Z,14,39
